20:33:48  |  Core  |  Info  |  Load ini file 'openmw_dialogue_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_scroll.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_debug_window.skin.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_layers.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_pointer.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
20:33:48  |  Core  |  Info  |  Load ini file 'openmw_settings.xml'  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
21:03:08  |  Core  |  Info  |  * Shutdown: Gui  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_Gui.cpp  |  125
21:03:08  |  Core  |  Info  |  * Shutdown: PointerManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  69
21:03:08  |  Core  |  Info  |  PointerManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  86
21:03:08  |  Core  |  Info  |  * Shutdown: InputManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_InputManager.cpp  |  73
21:03:08  |  Core  |  Info  |  InputManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_InputManager.cpp  |  78
21:03:08  |  Core  |  Info  |  * Shutdown: SkinManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  53
21:03:08  |  Core  |  Info  |  SkinManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  60
21:03:08  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  63
21:03:08  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  83
21:03:08  |  Core  |  Info  |  * Shutdown: LayerManager  |  /build/mygui/src/mygui-MyGUI3.2.2/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  48
